volume,volume_weighted,open,close,high,low,timestamp,num_trades
22841932.555476453,0.3719,0.3689,0.3763,0.37808,0.3644,2024-08-22,20873
36501969.81593081,0.3826,0.376424,0.3915,0.39386,0.3738,2024-08-23,28611
22168038.754864626,0.3944,0.3915,0.3939,0.40228,0.3878,2024-08-24,18962
17525374.863930758,0.3857,0.3938,0.385,0.39483,0.3776,2024-08-25,19453
22099232.814051338,0.3741,0.3851,0.3662,0.38819,0.3661,2024-08-26,21574
25586515.072031867,0.3609,0.3661,0.3504,0.37339,0.3419,2024-08-27,25601
26874844.328628816,0.351,0.350421,0.3501,0.3616,0.3406,2024-08-28,25056
25366410.65700296,0.3573,0.3503,0.3577,0.36849,0.3458,2024-08-29,18480
27210977.2177344,0.3501,0.35791,0.3469,0.36266,0.3373,2024-08-30,22568
10512504.813628351,0.3472,0.3469,0.3449,0.35146,0.3444,2024-08-31,10625
25319696.226466473,0.3382,0.345,0.3311,0.34682,0.327,2024-09-01,18644
17513561.2896072,0.331,0.3309,0.3364,0.33821,0.3246,2024-09-02,17860
22235818.73798551,0.3258,0.3361,0.3185,0.34039,0.3174,2024-09-03,19694
42686147.946901985,0.3181,0.318375,0.32411,0.32979,0.305062,2024-09-04,31899
24939023.13078032,0.327,0.3234,0.3249,0.34042,0.3195,2024-09-05,21448
23156068.326375168,0.3179,0.325032,0.3149,0.33255,0.3033,2024-09-06,23526
10935766.912425103,0.3228,0.3149,0.3254,0.32866,0.314632,2024-09-07,12335
12141663.890920524,0.3345,0.3252,0.33987,0.34185,0.3238,2024-09-08,12430
20356063.905719172,0.343,0.3391,0.343435,0.34962,0.337416,2024-09-09,18178
10448749.883691974,0.3421,0.3435,0.343,0.34611,0.3373,2024-09-10,10602
23169620.54919716,0.3423,0.343001,0.3531,0.35806,0.33,2024-09-11,16946
5312611.874211936,0.3571,0.353417,0.35708,0.36266,0.351997,2024-09-12,3658
5347788.691606941,0.358,0.356388,0.360595,0.36573,0.350318,2024-09-13,3027
4423070.452844049,0.3558,0.360869,0.35509,0.36205,0.351531,2024-09-14,2471
2356899.5360193434,0.3459,0.35485,0.338558,0.35673,0.334397,2024-09-15,2527
3076607.9297607304,0.3319,0.338399,0.330566,0.33861,0.326461,2024-09-16,2439
16906337.248763423,0.3351,0.3303,0.3339,0.3436,0.3283,2024-09-17,107514
15262301.531791529,0.3338,0.3339,0.3442,0.34497,0.3272,2024-09-18,109307
27724304.81439344,0.351,0.3443,0.3511,0.35723,0.3443,2024-09-19,116614
19015833.878521834,0.3557,0.3511,0.3524,0.36184,0.349,2024-09-20,110660
13278518.27058328,0.3559,0.3524,0.3585,0.35994,0.3505,2024-09-21,106658
13259923.629612235,0.3513,0.3585,0.3518,0.35957,0.3427,2024-09-22,106422
25952677.279717922,0.3577,0.3518,0.3636,0.36717,0.3454,2024-09-23,104905
38791704.02868716,0.3771,0.3637,0.3877,0.39258,0.358487,2024-09-24,43796
25130185.826621335,0.3851,0.38778,0.3809,0.39485,0.3788,2024-09-25,18429
33654857.58659183,0.3953,0.3809,0.4017,0.40466,0.378,2024-09-26,26290
27698940.559016805,0.4057,0.401614,0.4019,0.41634,0.3992,2024-09-27,23066
15208229.987436311,0.401,0.402,0.4005,0.40688,0.3923,2024-09-28,14684
11480562.932650872,0.3994,0.4007,0.397812,0.40492,0.3927,2024-09-29,11251
26501928.821054067,0.3839,0.397574,0.3732,0.39834,0.3707,2024-09-30,19867
47101343.329315856,0.3636,0.3733,0.351784,0.3898,0.3425,2024-10-01,59736
31016668.799499556,0.3498,0.351986,0.3432,0.36344,0.3357,2024-10-02,118085
31862779.253210664,0.3411,0.3432,0.3454,0.35012,0.331832,2024-10-03,118778
18246422.92828012,0.3504,0.345314,0.3516,0.35684,0.3428,2024-10-04,27463
8186232.090144845,0.3515,0.3517,0.3509,0.35652,0.3454,2024-10-05,13810
10421155.309836082,0.3533,0.350712,0.3572,0.35864,0.3477,2024-10-06,13951
22546936.28957028,0.3593,0.3575,0.3515,0.369,0.3503,2024-10-07,20427
20181414.725400597,0.3483,0.3515,0.3444,0.365,0.3408,2024-10-08,15107
15354516.613443777,0.3405,0.344575,0.3392,0.34817,0.3337,2024-10-09,14049
13317158.383390827,0.3366,0.3394,0.3395,0.34175,0.3311,2024-10-10,12963
13670994.130068861,0.3473,0.339249,0.351137,0.35505,0.33794,2024-10-11,12218
9504112.204388723,0.3536,0.3517,0.353062,0.35742,0.3507,2024-10-12,9893
12369255.365142724,0.3508,0.35301,0.3486,0.36031,0.344212,2024-10-13,12222
28623763.341920294,0.3582,0.3484,0.3644,0.36596,0.342,2024-10-14,24909
28679034.345170863,0.3593,0.3644,0.359,0.37153,0.347705,2024-10-15,24937
23214841.515166093,0.3557,0.358999,0.352,0.36123,0.351,2024-10-16,17795
24981095.168469276,0.3478,0.352,0.3432,0.362,0.3393,2024-10-17,19071
19410998.815727614,0.3482,0.343172,0.3506,0.353,0.3424,2024-10-18,18224
10940842.013326608,0.3521,0.3507,0.3513,0.357,0.3491,2024-10-19,11835
17247103.847590644,0.3578,0.351381,0.3649,0.366,0.3481,2024-10-20,15315
28745429.936784197,0.3627,0.365,0.3607,0.37373,0.353,2024-10-21,23146
22810701.165274,0.3626,0.3607,0.3641,0.36816,0.3549,2024-10-22,18722
26416395.351315793,0.3537,0.364253,0.3493,0.3693,0.342001,2024-10-23,21688
28642658.23615293,0.3453,0.3495,0.3463,0.35485,0.3395,2024-10-24,22975
40055214.170765966,0.3372,0.34631,0.3261,0.34724,0.313165,2024-10-25,33199
20007126.20286706,0.3288,0.3261,0.3334,0.3346,0.320084,2024-10-26,18139
10565796.79844081,0.3369,0.3334,0.3394,0.34249,0.3304,2024-10-27,11828
20798242.893204313,0.3385,0.3395,0.3434,0.3482,0.33,2024-10-28,20540
28896146.776408423,0.3501,0.3435,0.3562,0.3569,0.3425,2024-10-29,23669
25876081.576777425,0.357,0.355733,0.355,0.36455,0.3505,2024-10-30,22533
22541987.09117342,0.3497,0.355043,0.3413,0.3612,0.34006,2024-10-31,19034
27551288.05906081,0.3511,0.341307,0.3574,0.36191,0.3337,2024-11-01,23725
14774511.218798917,0.3557,0.357282,0.3481,0.36427,0.3451,2024-11-02,14721
19850352.647355154,0.3353,0.3482,0.3338,0.3483,0.3273,2024-11-03,16900
21169182.613466248,0.3289,0.3341,0.3262,0.33686,0.32,2024-11-04,15620
20312772.97086306,0.3329,0.3263,0.3335,0.33847,0.3259,2024-11-05,15190
61299534.843489215,0.3572,0.333626,0.3633,0.36601,0.3335,2024-11-06,41409
72146672.38981883,0.3851,0.3635,0.4069,0.4071,0.3616,2024-11-07,47440
122622597.46711205,0.4335,0.407,0.4451,0.4592,0.40369,2024-11-08,84722
58525030.20232886,0.4507,0.4451,0.496583,0.498627,0.427329,2024-11-09,47012
318698595.61628807,0.5837,0.4972,0.5902,0.6899,0.48769,2024-11-10,263706
171049138.90908727,0.5984,0.5909,0.6139,0.62674,0.5643,2024-11-11,154981
173343449.74416366,0.5916,0.6142,0.5715,0.655,0.5556,2024-11-12,165296
147292183.16493547,0.5657,0.5716,0.5791,0.6108,0.51956,2024-11-13,135913
100132499.53167254,0.57,0.579,0.579,0.6,0.541452,2024-11-14,102213
246545556.88265193,0.6496,0.57926,0.7073,0.708097,0.574602,2024-11-15,242197
249085662.1413459,0.7517,0.7073,0.742,0.819948,0.70247,2024-11-16,278709
103341940.5764787,0.7215,0.742,0.7028,0.7738,0.689332,2024-11-17,125215
131192688.38151489,0.7474,0.7028,0.7332,0.7837,0.7005,2024-11-18,154492
75722625.79095629,0.7407,0.7329,0.7397,0.7655,0.72,2024-11-19,97589
179503472.26336277,0.8085,0.739609,0.800575,0.849,0.7393,2024-11-20,202308
123169701.71295218,0.793,0.8009,0.823,0.825,0.76537,2024-11-21,158507
